university,unitid,addr,city,state,zip,location,latitude,longitude,school_name,school_type,program_title,specialization,program_type,in_state_tuition_yearly,out_state_tuition_yearly,in_state_tuition_course,out_state_tuition_course,In_state_fees,out_state_fees,study_mode,modality_program,modality_course,tot_cr_hrs,req_crs,elect_crs,course_code,course_name,core_elec,course_desc,undergraduate_certificate,undergraduate_certificate_d,postgraduate_certificate,postgraduate_certificate_d,associate,associate_d,bachelor,bachelor_d,master,master_d,doctor,doctor_d
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 521,The Nonprofit and Voluntary Sector,C,"The theory, size, scope, and functions of the nonprofit and voluntary sector are covered from multiple disciplinary perspectives including historical, political, economic, and social.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 52,Human Resource Management in Nonprofit Organizations,C,"This course provides an overview of the human resource management areas necessary for the productive functioning of nonprofit organizations. Theories of motivation applicable to the management of staff and volunteers and personnel topics of recruitment, selection, board-staff relations, compensation, training, and development are covered.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 525,Management in Nonprofit Sector,C,"An examination of nonprofit organizations and their role in society. Management issues and public policy affecting these organizations are discussed. Primary emphasis is on U.S. organizations, but attention is given to the global nature of the sector.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 526,Financial Management for Nonprofit Organizations,C,This course emphasizes a thorough understanding of the language and key concepts of nonprofit financial management. A working knowledge of the basic analytical tools used in financial decision-making for nonprofit organizations will be examined through the use of computer software.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 558,Fund Development for Nonprofits,E,"Important aspects of the fundraising process in nonprofit organizations are covered, including techniques and strategies for assessing potential sources of support, effective use of human resources, process management, theory to underlay practice, analysis of current practice, practice standards, and discussion of ethical problems.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 510,Advocacy and Government Regulations,E,"This course concerns advocacy as practiced by public and nonprofit organizations. Advocacy includes a broad range of activities that attempt to influence a specific policy, legislative, regulatory, or implementation outcome. Advocacy also can include efforts to influence private behavior or encourage individual action.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 544,Marketing for Nonprofit Organizations,E,"This course examines the concepts of marketing and the extent to which they apply to the nonprofit sector, as well as how marketing can assist organizations both in resource acquisition and program development/implementation. Contexts such as social marketing, arts marketing, fundraising, education, and healthcare marketing will be considered.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 557,Proposal Development and Grant Administrtaion,E,"This course provides the opportunity for each student to develop a complete proposal through participation in the entire grant application process. The integration of case studies, visual media, printed materials, and class discussions provides students with practical knowledge for writing successful proposals.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Indiana University-Northwest,151360,3400 Broadway,Gary,IN,46408,"Bloomington, Indiana",41.557324,-87.337249,O'Neill School of Public and Environmental Affairs,PA,Nonprofit Management,,Certificate,7836,17466,349.27,830.82,,,FT,P,N/A,15,12,3,SPEA-V 559,Principles and Practices of Social Entrepreneurship,E,"This course will survey issues in social entrepreneurship and engage students in completing class projects applying principles and practices of social entrepreneurship to problems of nonprofit organizations, government agencies, and social-purpose business.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liberty University,232557,1971 University Blvd,Lynchburg,VA,24515,"Lynchburg, VA",37.350232,-79.18222,School of Business,B,Nonprofit Management - Financial Management,Financial Management,Master,6960,6960,645,645,,,FT_PT,O,O,30,21,9,BMAL 602,Nonprofit Management,C,"Course DescriptionLeaders of nonprofit organizations must understand their role in the diverse political, social and economic contexts in which they will lead. This course provides a comprehensive understanding of how to lead a nonprofit organization. Students will examine governance, key concepts and the stakeholders involved in nonprofit management. (Formerly BUSI 602)For information regarding prerequisites for this course, please refer to the Academic Course Catalog.Course GuideView this courseâ€™s outcomes, policies, schedule, and more.*View Course Guides*The information contained in our Course Guides is provided as a sample. Specific course curriculum and requirements for each course are provided by individual instructors each semester. Students should not use Course Guides to find and complete assignments, class prerequisites, or order books.RationaleIn the United States, the primary focus of coursework in business graduate programs is the for-profit sector. Nonprofit management is a relatively new field of graduate professional education. Although still a small field compared with business management or public administration, nonprofit management programs have grown rapidly. Liberty University recognizes that many of its business graduates may seek a vocation in areas other than the for-profit sector. Thus, the rationale for this course is to provide graduate students with the essential skills necessary to lead, manage, and operate nonprofit organizations.Course AssignmentTextbook readings and lecture presentationsNo details available.Course Requirements ChecklistAfter reading the Course Syllabus and Student Expectations, the student will complete the related checklist found in the Course Overview.Discussions (4)Discussions are collaborative learning experiences. Therefore, the student will complete four Discussions in the course. Each Discussion is split over 2 weeks and requires a thread of at least 400 words and 2 replies of at least 200 words each. The student will be reviewing and analyzing case studies/journal articles for each Discussion. Each reply must provide additional sources to expand the conversation. All posts must have a clear, logical flow. Correct spelling and grammar must be used, with complete, clear, and concise sentences that vary in structure. Major points must be supported by good examples or thoughtful analysis. Where applicable, any sources cited must have been published within the last five years and cited in current APA format.Nonprofit Analysis Project AssignmentThis project starts with the student reading about a Christian worldview and reflecting upon it in a short essay (at least 1â€“2 full pages). Then, the student will select 10 different nonprofit organizations to review (at least 5â€“6 full pages), explaining how each organization demonstrates the 6 characteristics defined in Chapter 3 of the course textbook. Two of the selected organizations must be Christian, and the student will answer specific questions on their distinctive principles, vision, mission, purpose, and goals. Each organization description must be at least 250 words. After narrowing the reviewed 10 down to 1 particular organization, the student will do an in-depth evaluation and assessment (at least 5 full pages), identifying the vision, mission, and purpose of the organization. The student will choose 5â€“7 key concepts from the Learn material and apply them to the selected organization. The student will identify factors contributing to the organizationâ€™s success and any strategic issues facing the organization. Finally, the student will provide a list of 8 well-supported recommendations, using at least 3 credible sources that include the Learn material, in a professional letter to the assessed organization (at least 5 full pages). This assignment must be completed in strict, current APA format, with a cover page and a reference page, and be double-spaced throughout. Each section must have a clear, logical flow. Major points must be stated clearly and supported by examples or thoughtful analysis. Correct spelling and grammar must be used, with complete, clear, and concise sentences that vary in structure.Quizzes (4)Each quiz will cover the Textbook material for the assigned modules. Each quiz will be open-book/open-notes, contain 25 multiple-choice questions, and have a 45-minute time limit. Each quiz will allow 1 attempt.",0,N/A,0,N/A,0,N/A,0,N/A,4,d,0,N/A
